,beer_names,style,07-30-2022
0,Hatchet,Pilsner - German,3.58
1,Skillet Donut Stout,Stout - Coffee,4.17
2,Billhook Farmhouse Ale,Farmhouse Ale - Saison,3.7
3,Scythe Rye IPA,IPA - Rye,3.92
4,Hacksaw Dunkel,Lager - Munich Dunkel,3.65
5,Spade IPA,IPA - American,3.65
6,Pollination IV,Farmhouse Ale - Saison,
7,Pollination V,Farmhouse Ale - Saison,
8,Pollination VI,Farmhouse Ale - Saison,3.76
9,Thatcher Harvest Ale,Pumpkin / Yam Beer,3.79
10,Pruner Olde Ale,Old Ale,3.78
11,Bouclier Saison,Farmhouse Ale - Saison,
12,Rake Autumn Wit,Wheat Beer - Witbier / Blanche,3.59
13,Slasher Sweet Potato Porter,Porter - American,3.73
14,Crowbar Black Saison,Farmhouse Ale - Saison,3.71
15,Mangleknife Barleywine,Barleywine - American,3.75
16,Cascara,Farmhouse Ale - Saison,3.91
17,Las Milpas,Farmhouse Ale - Saison,4.21
18,Haru,Farmhouse Ale - Saison,
19,Atu Lintang,Farmhouse Ale - Saison,4.0
20,Mallet Chocolate Cherry Stout,Stout - American,3.77
21,Surf Wax IPA,IPA - American,3.99
22,Machete Extra Farmhouse,Farmhouse Ale - Saison,3.73
23,Flora Petite Saison,Farmhouse Ale - Saison,3.68
24,Snowblade Winter Wit,Wheat Beer - Witbier / Blanche,3.69
25,Wood-Aged Series Belgian Blonde (Yellow Birch),Belgian Blonde,3.83
26,Èpice Farmhouse Ale,Farmhouse Ale - Saison,3.65
27,Hayfork,Farmhouse Ale - Saison,3.56
28,Vice - Motueka,IPA - American,3.64
29,Trapdoor Doppelsticke,Altbier,3.61
30,Natura,Wild Ale - American,
31,Pollination VII,Farmhouse Ale - Saison,
32,Pollination VIII,Farmhouse Ale - Saison,
33,Pollination IX,Farmhouse Ale - Saison,3.67
34,Crosscut Imperial IPA,IPA - Imperial / Double,3.88
35,Spile Maple Amber,Red Ale - American Amber / Red,3.52
36,Dagger Belgian Black,Belgian Strong Dark Ale,3.76
37,Bale Hook Rye Saison,Farmhouse Ale - Saison,3.63
